Akron Canton Regional Airport,Akron,United States,CAK,KCAK,40.9160833,-81.4421944,1228,-5,A,America/New_York
Ted Stevens Anchorage Intl,Anchorage,United States,ANC,PANC,61.174361,-149.996361,152,-9,A,America/Anchorage
Hartsfield Jackson Atlanta Intl,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,America/New_York
Atlantic City Intl,Atlantic City,United States,ACY,KACY,39.457583,-74.577167,75,-5,A,America/New_York
Austin Bergstrom Intl,Austin,United States,AUS,KAUS,30.194528,-97.669889,542,-6,A,America/Chicago
Baltimore Washington Intl,Baltimore,United States,BWI,KBWI,39.175361,-76.668333,146,-5,A,America/New_York
Birmingham Intl,Birmingham,United States,BHM,KBHM,33.562942,-86.75355,644,-6,A,America/Chicago
General Edward Lawrence Logan Intl,Boston,United States,BOS,KBOS,42.364347,-71.005181,19,-5,A,America/New_York
Buffalo Niagara Intl,Buffalo,United States,BUF,KBUF,42.940525,-78.732167,724,-5,A,America/New_York
Charlotte Douglas Intl,Charlotte,United States,CLT,KCLT,35.214,-80.943139,748,-5,A,America/New_York
Charleston Afb Intl,Charleston,United States,CHS,KCHS,32.898647,-80.040528,45,-5,A,America/New_York
Chicago Midway Intl,Chicago,United States,MDW,KMDW,41.785972,-87.752417,620,-6,A,America/Chicago
Chicago Rockford International Airport ,Rockford,United States,RFD,KRFD,42.1953611,-89.0972222,742,-6,A,America/Chicago
Chicago Ohare Intl,Chicago,United States,ORD,KORD,41.978603,-87.904842,668,-6,A,America/Chicago
Cincinnati Northern Kentucky Intl,Cincinnati,United States,CVG,KCVG,39.048836,-84.667822,896,-5,A,America/New_York
Cleveland Hopkins Intl,Cleveland,United States,CLE,KCLE,41.411689,-81.849794,791,-5,A,America/New_York
Port Columbus Intl,Columbus,United States,CMH,KCMH,39.997972,-82.891889,815,-5,A,America/New_York
Rickenbacker Intl,Columbus,United States,LCK,KLCK,39.813786,-82.927822,744,-5,A,America/New_York
Dallas Fort Worth Intl,Dallas-Fort Worth,United States,DFW,KDFW,32.896828,-97.037997,607,-6,A,America/Chicago
Denver Intl,Denver,United States,DEN,KDEN,39.861656,-104.673178,5431,-7,A,America/Denver
Detroit Metro Wayne Co,Detroit,United States,DTW,KDTW,42.212444,-83.353389,645,-5,A,America/New_York
El Paso Intl,El Paso,United States,ELP,KELP,31.80725,-106.377583,3958,-7,A,America/Denver
Fairbanks Intl,Fairbanks,United States,FAI,PAFA,64.815114,-147.856267,434,-9,A,America/Anchorage
Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York
Southwest Florida Intl,Fort Myers,United States,RSW,KRSW,26.536167,-81.755167,30,-5,A,America/New_York
Fresno Yosemite Intl,Fresno,United States,FAT,KFAT,36.776194,-119.71814,336,-8,A,America/Los_Angeles
Bradley Intl,Windsor Locks,United States,BDL,KBDL,41.938889,-72.683222,173,-5,A,America/New_York
Honolulu Intl,Honolulu,United States,HNL,PHNL,21.318681,-157.922428,13,-10,N,Pacific/Honolulu
George Bush Intercontinental,Houston,United States,IAH,KIAH,29.984433,-95.341442,97,-6,A,America/Chicago
William P Hobby,Houston,United States,HOU,KHOU,29.645419,-95.278889,46,-6,A,America/Chicago
